"variable","description","dataset_filename","dataset_path","survey_id"
"1","hv001","Cluster number","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"2","hv002","Household number","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"3","hv009","Number of household members","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"4","hv025","Type of place of residence","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"5","hv201","Source of drinking water","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"6","hv205","Type of toilet facility","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"7","hv206","Has electricity","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"8","hv207","Has radio","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"9","hv208","Has television","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"10","hv209","Has refrigerator","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"11","hv211","Has motorcycle/scooter","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"12","hv212","Has car/truck","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"13","hv213","Main floor material","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"14","hv221","Has telephone","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"15","hv243a","Has a mobile telephone","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"16","hv243c","Has an animal-drawn cart","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"17","sh12b","Alternative Electricity","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
"18","ha51_1","Line no. of parent/caretaker","AOHR51FL","C:\Users\arbio\AppData\Local/arbio/rdhs/Cache/datasets/AOHR51FL.rds","AO2006MIS"
